slug,name,url,category,product_url_pattern,badge,notes
ai-agents-directory,AI Agents Directory,https://aiagentsdirectory.com,ai-directory,https://aiagentsdirectory.com/agent/{slug},img,
aibesttop,AIBestTop,https://aibesttop.com,ai-directory,,img,
aihuntlist,AIHuntList,https://aihuntlist.com,ai-directory,https://aihuntlist.com/tool/{slug},img,
ai-hustle,AI Hustle,https://aihustle.tools,ai-directory,,text,
ailaunch-space,AILaunchSpace,https://ailaunch.space/,launch,,img,
aitoolhunt,AIToolHunt,https://aitoolhunt.co,ai-directory,https://aitoolhunt.co/item/{slug},img,
ai-tool-trek,AI Tool Trek,https://aitooltrek.com,ai-directory,,text,
ai-toolz-dir,AI Toolz Dir,https://www.aitoolzdir.com,ai-directory,,text,
aitop10-tools,AiTop10 Tools,https://aitop10.tools/,ai-directory,,text,
aura-plusplus,Aura++,https://auraplusplus.com,launch,https://auraplusplus.com/projects/{slug},img,
bestsky-tools,BestskyTools,https://bestsky.tools,ai-directory,,img,utm_source=badge on outbound link
codehype,CodeHype,https://codehype.ai,ai-directory,https://codehype.ai/product/{slug},img,
collectai,CollectAI,https://collectai.tools,ai-directory,https://collectai.tools/item/{slug},img,
dailypings,DailyPings,https://dailypings.com,launch,https://dailypings.com/p/{slug},img,
daniellaunches,DanielLaunches,https://daniellaunches.com,launch,,img,
days-launch,Days Launch,https://dayslaunch.com,launch,,img-remote,
deeplaunch,DeepLaunch,https://deeplaunch.io,launch,,img,
dododirectory,DodoDirectory,https://dododirectory.com,saas-directory,,img,
earlyhunt,EarlyHunt,https://earlyhunt.com,launch,https://earlyhunt.com/project/{slug},img,
fastlaunch,FastLaunch,https://fastlaunch.io,launch,,img-remote,
fazier,Fazier,https://fazier.com,launch,https://fazier.com/launches/{slug},img,
findly-tools,Findly.tools,https://findly.tools,ai-directory,https://findly.tools/{slug},img,
go-publicly,Go Publicly,https://go-publicly.com,launch,,img,
goodaitools,Good AI Tools,https://goodaitools.com,ai-directory,https://goodaitools.com/ai/{slug},img,
huntstartup,Hunt Startup,https://huntstartup.com,launch,,img,
huzzler,Huzzler,https://huzzler.so,saas-directory,https://huzzler.so/products/{id}/{slug},img,product URL contains an opaque id
indieai-directory,IndieAI Directory,https://indieai.directory/,ai-directory,,text,
indiehunt,IndieHunt,https://indiehunt.io,launch,https://indiehunt.io/project/{slug},img,
kickproduct,Kick Product,https://kickproduct.com,launch,https://kickproduct.com/products/{id},img,product URL contains an opaque id
kittylaunch,KittyLaunch,https://kittylaunch.com,launch,https://kittylaunch.com/p/{slug},img,
launchboard,LaunchBoard,https://launchboard.dev,launch,,img,
launchclash,LaunchClash,https://launchclash.com,launch,https://launchclash.com/product/{slug},img,
launchigniter,LaunchIgniter,https://launchigniter.com,launch,https://launchigniter.com/product/{slug},img,
launchtory,Launchtory,https://launchtory.com,launch,https://launchtory.com/projects/{slug},text,
launchvault,LaunchVault,https://www.launchvault.dev,launch,,img,
launchvoid,LaunchVoid,https://launchvoid.com,launch,,img,
marketingdb,MarketingDB,https://marketingdb.live,saas-directory,,img,outbound link is nofollow+sponsored
mylaunchstash,My Launch Stash,https://mylaunchstash.com,launch,https://mylaunchstash.com/product/{slug},img,
navfolders,NavFolders,https://navfolders.com,saas-directory,,img,
neeed-directory,neeed.directory,https://neeed.directory,saas-directory,https://neeed.directory/products/{slug},img,
nextlaunch,Next Launch,https://nextlaunch.io,launch,https://nextlaunch.io/projects/{slug},img,
nicklaunches,Nick Launches,https://nicklaunches.com,launch,https://nicklaunches.com/products/{slug}/,img,
openhunts,OpenHunts,https://openhunts.com,launch,,img-remote,
postmake,Postmake,https://postmake.io,saas-directory,,img,submit entry point observed at /submit
producthunt,Product Hunt,https://www.producthunt.com,launch,https://www.producthunt.com/products/{slug},img-remote,
productwatch,Product Watch,https://productwatch.io,saas-directory,https://productwatch.io/products/{slug},img,
prolaunch,Pro Launch,https://prolaunch.net,launch,,img,
publishyoursaas,publishyoursaas,https://publishyoursaas.com,saas-directory,https://publishyoursaas.com/listing/{slug},img,
saasbison,SaaSBison,https://saasbison.com,saas-directory,,img,
saascity,SaaSCity,https://saascity.io,saas-directory,,img,
saasfame,SaaSFame,https://saasfame.com,saas-directory,https://saasfame.com/item/{slug},img-remote,
saasgrave,SaaSGrave Launches,https://ls.saasgrave.org,launch,https://ls.saasgrave.org/products/{slug},img-remote,
saasgrow,SaaSGrow,https://saasgrow.app,saas-directory,,img,
scrolllaunch,ScrollLaunch,https://www.scrolllaunch.com,launch,https://www.scrolllaunch.com/products/{slug},img-remote,
shinylaunch,ShinyLaunch,https://shinylaunch.com,launch,https://shinylaunch.com/product/{slug},img,
showmysites,ShowMySites,https://www.showmysites.com,general-directory,,img,
smollaunch,Smol Launch,https://smollaunch.com,launch,,img,
startupfame,Startup Fame,https://startupfa.me,saas-directory,https://startupfa.me/s/{slug},img,
startupfast,Startup Fast,https://startupfa.st,launch,,text,
startuptrusted,StartupTrusted,https://startuptrusted.com,saas-directory,,img,
stork,Stork,https://www.stork.ai/,ai-directory,,img,outbound link is nofollow
submitaitools,Submit AI Tools,https://submitaitools.org,ai-directory,,img,
submithunt,Submit Hunt,https://submithunt.com,launch,,img,
submitmysaas,SubmitMySaas,https://submitmysaas.com,saas-directory,,img,
sumodir,SumoDir,https://sumodir.com,general-directory,,img,
superlaunch,Super Launch,https://www.superlaun.ch,launch,https://www.superlaun.ch/products/{id},img-remote,product URL contains an opaque numeric id
thedevtoolsdir,TheDevToolsDir,https://thedevtoolsdir.com,dev-directory,https://thedevtoolsdir.com/product/{slug},img,
thesaasdir,TheSaaSDir,https://thesaasdir.com,saas-directory,https://thesaasdir.com/product/{slug},img,
tinystartups,Tiny Startups,https://www.tinystartups.com,launch,https://www.tinystartups.com/startup/{slug},text,
tooldirs,ToolDirs,https://tooldirs.com,ai-directory,,img,
toolfame,Toolfame,https://toolfame.com,saas-directory,https://toolfame.com/item/{slug},img-remote,
toolpilot,ToolPilot,https://www.toolpilot.ai/,ai-directory,,img,
turbo0,Turbo0,https://turbo0.com,ai-directory,https://turbo0.com/item/{slug},img-remote,
uno-directory,Uno Directory,https://uno.directory,general-directory,,img,
vibe-coding,Vibe Coding,https://www.vibe-coding.cloud/,ai-directory,,img,outbound link is nofollow
webspot,Webspot,https://webspot.app,saas-directory,,img,
wired-business,Wired Business,https://wired.business,general-directory,,img,
